Document,Topic,Location,Topic_name
"I climbed the porphyry steps of the palace with the highest domes, I crossed six tiled courtyards with fountains.",8,17CITIES & SIGNS 4,Other
The central hall was barred by iron gratings: convicts with black chains on their feet were hauling up basalt blocks from a quarry that opened underground.,8,17CITIES & SIGNS 4,Other
I could only question the philosophers.,-1,17CITIES & SIGNS 4,Complexity
"I entered the great library, I became lost among shelves collapsing under the vellum bindings, I followed the alphabetical order of vanished alphabets, up and down halls, stairs, bridges.",-1,17CITIES & SIGNS 4,Complexity
"In the most remote papyrus cabinet, in a cloud of smoke, the dazed eyes of an adolescent appeared to me, as he lay on a mat, his lips glued to an opium pipe.",1,17CITIES & SIGNS 4,topic_name
'Where is the sage?',-1,17CITIES & SIGNS 4,Complexity
The smoker pointed out of the window.,1,17CITIES & SIGNS 4,topic_name
"It was a garden with children's games: ninepins, a swing, a top.",-1,17CITIES & SIGNS 4,Complexity
The philosopher was seated on the lawn.,-1,17CITIES & SIGNS 4,Complexity
"He said: 'Signs form a language, but not the one you think you know.'",3,17CITIES & SIGNS 4,Gaze
I had realized I had to free myself from the images which in the past had announced to me the things I sought: only then would I succeed in understanding the language of Hypatia.,-1,17CITIES & SIGNS 4,Complexity
"Now I have only to hear the neighing of horses and the cracking of whips and I am seized with amorous trepidation: in Hypatia you have to go to the stables and riding rings to see the beautiful women who mount the saddle, thighs naked, greaves on their calves, and as soon as a young foreigner approaches, they fling him on the piles of hay or sawdust and press their firm nipples against him.",-1,17CITIES & SIGNS 4,Complexity
"And when my spirit wants no stimulus or nourishment save music, I know it is to be sought in the cemeteries: the musicians hide in the tombs; from grave to grave flute trills, harp chords answer one another.",-1,17CITIES & SIGNS 4,Complexity
"True, also in Hypatia the day will come when my only desire will be to leave.",3,17CITIES & SIGNS 4,Gaze
"I know I must not go down to the harbour then, but climb the citadel's highest pinnacle and wait for a ship to go by up there.",-1,17CITIES & SIGNS 4,Complexity
But will it ever go by?,-1,17CITIES & SIGNS 4,Complexity
There is no language without deceit.,-1,17CITIES & SIGNS 4,Complexity
"Whether Armilla is like this because it is unfinished or because it has been demolished, whether the cause is some enchantment or only a whim, I do not know.",-1,18THIN CITIES 3,Complexity
"The fact remains that it has no walls, no ceilings, no floors: it has nothing that makes it seem a city, except the water pipes that rise vertically where the houses should be and spread out horizontally where the floors should be: a forest of pipes that end in taps, showers, spouts, overflows.",0,18THIN CITIES 3,Opposite
"Against the sky a lavabo's white stands out, or a bathtub, or some other porcelain, like late fruit still hanging from the boughs.",-1,18THIN CITIES 3,Complexity
"You would think the plumbers had finished their job and gone away before the bricklayers arrived; or else their hydraulic systems, indestructible, had survived a catastrophe, an earthquake, or the corrosion of termites.",8,18THIN CITIES 3,Other
Abandoned before or after it was inhabited.,0,18THIN CITIES 3,Opposite
Armilla cannot be called deserted.,-1,18THIN CITIES 3,Complexity
"At any hour, raising your eyes among the pipes, you are likely to glimpse a young woman, or many young women, slender, not tall of stature, luxuriating in the bathtubs or arching their backs under the showers suspended in the void, washing or drying or perfuming themselves, or combing their long hair at a mirror.",1,18THIN CITIES 3,topic_name
"In the sun, the threads of water fanning from the showers glisten, the jets of the taps, the spurts, the splashes, the sponges' suds.",-1,18THIN CITIES 3,Complexity
I have come to this explanation: the streams of water channelled in the pipes of Armilla have remained in the possession of nymphs and naiads.,-1,18THIN CITIES 3,Complexity
"Accustomed to travelling along underground veins, they found it easy to enter into the new aquatic realm, to burst from multiple fountains, to find new mirrors, new games, new ways of enjoying the water.",8,18THIN CITIES 3,Other
"Their invasion may have been built by humans as a votive offering to win the favour of the nymphs, offended at the misuse of the waters.",6,18THIN CITIES 3,Existentialism
"In any case, now they seem content, these maidens: in the morning you hear them singing.",-1,18THIN CITIES 3,Complexity
"In Chloe, a great city, the people who move through the streets are all strangers.",-1,19TRADING CITIES 2,Complexity
"At each encounter, they imagine a thousand things about one another; meetings which could take place between them, conversations, surprises, caresses, bites.",-1,19TRADING CITIES 2,Complexity
"But no one greets anyone; eyes lock for a second, then dart away, seeking other eyes, never stopping.",1,19TRADING CITIES 2,topic_name
"A girl comes along, twirling a parasol on her shoulder, and twirling slightly also her rounded hips.",-1,19TRADING CITIES 2,Complexity
"A woman in black comes along, showing her full age, her eyes restless beneath her veil, her lips trembling.",-1,19TRADING CITIES 2,Complexity
"A tattooed giant comes along; a young man with white hair; a female dwarf; two girls, twins, dressed in coral.",-1,19TRADING CITIES 2,Complexity
"Something runs among them, an exchange of glances like lines that connect one figure with another and draw arrows, stars, triangles, until all combinations are used up in a moment, and other characters come on to the scene: a blind man with a cheetah on a leash, a courtesan with an ostrich-plume fan, an ephebe, a Fat Woman.",1,19TRADING CITIES 2,topic_name
"And thus, when some people happen to find themselves together, taking shelter from the rain under an arcade, or crowding beneath an awning of the bazaar, or stopping to listen to the band in the square, meetings, seductions, copulations, orgies are consummated among them without a word exchanged, without a finger touching anything, almost without an eye raised.",-1,19TRADING CITIES 2,Complexity
"A voluptuous vibration constantly stirs Chloe, the most chaste of cities.",-1,19TRADING CITIES 2,Complexity
"If men and women began to live their ephemeral dreams, every phantom would become a person with whom to begin a story of pursuits, pretences, misunderstandings, clashes, oppressions, and the carousel of fantasies would stop.",4,19TRADING CITIES 2,Disater
"The ancients built Valdrada on the shores of a lake, with houses all verandas one above the other, and high streets whose railed parapets look out over the water.",-1,20CITIES & EYES 1,Complexity
"Thus the traveller, arriving, sees two cities: one erect above the lake, and the other reflected, upside-down.",-1,20CITIES & EYES 1,Complexity
"Nothing exists or happens in the one Valdrada that the other Valdrada does not repeat, because the city was so constructed that its every point would be reflected in its mirror, and the Valdrada down in the water contains not only all the flutings and juttings of the facades that rise above the lake, but also the rooms' interiors with ceilings and floors, the perspective of the halls, the mirrors of the wardrobes.",-1,20CITIES & EYES 1,Complexity
"Valdrada's inhabitants know that each of their actions is, at once, that action and its mirror-image, which possesses the special dignity of images, and this awareness prevents them from forgetfulness.",-1,20CITIES & EYES 1,Complexity
"Even when lovers twist their naked bodies, skin against skin, seeking the position that will give one the most pleasure in the other, even when murderers plunge the knife into the black veins of the neck and more clotted blood pours out the more they press the blade that slips between the tendons, it is not so much their copulating or murdering that matters as the copulating or murdering of the images, limpid and cold in the mirror.",-1,20CITIES & EYES 1,Complexity
"At times the mirror increases a thing's value, at times denies it.",-1,20CITIES & EYES 1,Complexity
Not everything that seems valuable above the mirror maintains its force when mirrored.,-1,20CITIES & EYES 1,Complexity
"The twin cities are not equal, because nothing that exists or happens in Valdrada is symmetrical: every face and gesture is answered, from the mirror, by a face and gesture inverted, point by point.",-1,20CITIES & EYES 1,Complexity
"The two Valdradas live for each other, their eyes interlocked; but there is no love between them.",-1,20CITIES & EYES 1,Complexity
"No one, wise Kublai, knows better than you that the city must never be confused with the words that describe it.",0,21CITIES & SIGNS 5,Opposite
And yet between the one and the other there is a connection.,-1,21CITIES & SIGNS 5,Complexity
"If I describe to you Olivia, a city rich in products and in profits, I can indicate its prosperity only by speaking of filigree palaces with fringed cushions on the seats by the mullioned windows.",0,21CITIES & SIGNS 5,Opposite
"Beyond the screen of a patio, spinning jets water a lawn where a white peacock spreads its tail.",1,21CITIES & SIGNS 5,topic_name
"But from these words you realize at once how Olivia is shrouded in a cloud of soot and grease that sticks to the houses, that in the brawling streets, the shifting trailers crush pedestrians against the walls.",-1,21CITIES & SIGNS 5,Complexity
"If I must speak to you of the inhabitants' industry, I speak of the saddlers' shops smelling of leather, of the women chattering as they weave raffia rugs, of the hanging canals whose cascades move the paddles of the mills; but the image these words evoke in your enlightened mind is of the mandrel set against the teeth of the lathe, an action repeated by thousands of hands thousands of times at the pace established for each shift.",1,21CITIES & SIGNS 5,topic_name
