name,review,time,rating,language,post_time,month,year,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,length
Karen,"I bought it because i heard it had beautiful imagery and it transported your mind to other worlds etc...Yes, it has gorgeous imagery, and yes, your mind is transported ~ kinda wanders too. It makes me wish I was high while i was reading it. The pace is dreamlike, which works perfectly for it, but you really must be in the right frame of mind. You have to be willing to put in the effort to extract meaning from it. On the second read I got more out of it ~ Calvino is supposed to be esoteric etc...I confirm that!the other two stars aren't there because its not the kind of book i'd reach back to grab over and over again. though i'd pull it off the shelf to find a beautifully confusingly line to put at the bottom of emails to bewilder my friends.",2007-07-28 15:05:58,3,en,2007-07-28 15:05:58,7,2007,0.00108,0.0001,0.00019,0.00012,0.00019,0.00014,145
Sera,"Calvino is an Italian author who uses modern literary techniques to tell his stories. He uses this approach in Invisible Cities, and fails to disappoint. It's a travelogue of descriptions of cities as told by Marco Polo to Kublai Khan. Calvino's descriptions are vivid, beautiful and precise. Calvino talks about the evolution of cities, how they take on the persona of their inhabitants, how the bright shine of the city fails to illuminate what may be actually going on under the surface, etc. I could go on and on but then, the reader won't be as pleasantly surprised as I was when reading this book.For a short book, there is much to contemplate here and how it remains extremely relevant today.I highly recommend this book.",2015-03-29 16:29:15,5,en,2015-03-29 16:29:15,3,2015,0.00061,0.00013,0.00018,0.00013,0.00018,0.00015,125
Gabri,"This book just wasn't for me. I had thought it to be a completely different kind of book than what it is: little historical, very philosophical. That wouldn't have necessarily a bad thing, had I understood the meaning of the descriptions of the cities. The only city I understood, and therefore ""liked"", was that of Leonia (which - I'd say - refers to the consumer society). The ending kind of surprised me, but I'm pretty sure I took another message from it (to support the people who try to be a good/different person) than it was supposed to be (something with finding the good in your imaginations?). So the concept is alright, but it would've been nice if it had been written in such way that I could actually learn something from it without having to be a super philosophical person.",2018-06-20 23:47:33,2,en,2018-06-20 23:47:33,6,2018,0.0006,0.00012,0.00019,0.00012,0.00018,0.00014,141
Graham Wilhauk,"This was REALLY good. Invisible Cities is a work of language and description. You do not read this book, or any Calvino book, for the story and characters. You read Calvino for the experience of reading it and his unique format of prose and his GORGEOUS writing style. While I did think this book kind of got repetitive at very short parts, I still think he was original enough to keep my interest most of the time. It was certainly a unique and BRILLIANT experience. I love Calvino even more than when I last read him through the Complete Cosmicomics. If you like these kinds of books, this is a must read. I am giving this one a 4 out of 5 stars.",2016-12-27 01:01:10,4,en,2016-12-27 01:01:10,12,2016,0.00056,0.00013,0.00018,0.00013,0.00017,0.00014,123
Alan,"amazing, beautiful descriptions of imaginary cities, one like a spider's web, one on stilts etc. Exquisite prose.2012 - been reading through my 1983 notebook and come across this: I.C. - elephants, girls and underground trains. Towers of cobalt. The city which is just plumbing, a bath tub, a shower, pipes, girls wallowing in tubs. The one that grows new cities within its centre, like tree rings; the one where new things replace the old every day - the dustmen welcomed like angels. Endless pleasure, thoughts, imagination here.",2009-01-07 23:50:28,5,en,2009-01-07 23:50:28,1,2009,0.00082,0.00011,0.00017,0.00012,0.00018,0.00015,87
Michael Sclafani,"Beautifully written, and the poetry and novelty warranted the five stars. The end provides no more closure than the beginning so there was little sense of progress; it is little more than separate think pieces.The person who recommended it gave the best advice. Read it slowly. After each city, ask yourself ""what is Marco Polo"" trying to say here and why would he tell Khan about this city.The weakest part are the interludes, in which the philosophy was less interesting to me and they did not weave together into any real story.",2015-12-05 02:07:12,5,en,2015-12-05 02:07:12,12,2015,0.00058,0.00013,0.00018,0.00013,0.00018,0.00014,92
stuti,"ah, this book was such a great read! calvino is a deft storyteller and the descriptions of the cities were so nuanced and lovely. the whole story is such an amazing manifestation of imagination. it had a really surreal and dream-like quality throughout, and what i thought i understood got more and more complicated throughout. i had a lot of questions by the end including the ones asked in class about what is 'literary,' how this book fits into genre, etc etc. regardless it was such an interesting book and delightful throughout.",2016-01-15 13:41:53,4,en,2016-01-15 13:41:53,1,2016,0.00068,0.00012,0.00018,0.00012,0.00018,0.00014,92
Ana,"Podem ler a opinião completa no Floresta de Livros.I surrendered to this beautiful novel in the first pages. The writing, the story-telling, the imagination, but most of all, the feeling of visiting the cities, being there when Marco Polo described each street, each window, each person, was amazing.I truly loved this book, and I hope to reread many times in the future. Truly a masterpiece!",2009-02-20 02:52:24,5,en,2009-02-20 02:52:24,2,2009,0.0007,0.00012,0.00019,0.00012,0.00018,0.00014,65
Rhys,"This is the second time I've read this profound masterpiece and I appreciated it even more than I did before. In some ways it's one of Calvino's more 'difficult' books. There's no conventional characterisation, no plot and barely any dialogue; and yet it's a work of extremely high literary merit, a shimmering web of interlocking ideas. In my view, Calvino is the greatest fiction writer who ever lived.",2011-10-07 16:57:51,4,en,2011-10-07 16:57:51,10,2011,0.00067,0.00012,0.00017,0.00013,0.00018,0.00014,68
Zanna,"I really dislike this kind of writing - I'm impatient for it to do something! I think this says more about me than about Calvino, who imagines prolifically and writes prettily, but I'll keep clear of his work after this.""You take delight not in a city's seven or seventy wonders, but in the answer it give to a question of yours. Or the question it asks you, forcing you to answer, like Thebes through the mouth of the Sphinx.""",2013-08-05 16:36:21,2,en,2013-08-05 16:36:21,8,2013,0.00226,9e-05,0.00019,0.00011,0.00023,0.00018,79
Thomas Croskery,"Superb. A revolution in prose.My favourite part is the passage below: “There is still one [city] of which you never speak.”Marco Polo bowed his head “Venice,” the Khan said.Marco smiled. “What else do you believe I have been talking to you about?”The emperor did not turn a hair. “And yet I have never heard you mention that name.”And Polo said: “Every time I describe a city I am saying something about Venice.""",2021-12-18 08:09:36,5,en,2021-12-18 08:09:36,12,2021,0.00077,0.00011,0.00017,0.00011,0.00017,0.00014,72
Wreade1872,"Marco Polo tells Genghis Khan about various cities he's visited. Each city is in fact a little parable or thought provoking idea. However it feels a bit of a cheat, other authors would have used these ideas as the basis for something greater.Each little tableau is like a topic heading during a debate. With the arguments for both sides being left to the reader to invent.",2014-06-23 22:03:31,3,en,2014-06-23 22:03:31,6,2014,0.00063,0.00012,0.00017,0.00012,0.00018,0.00014,66
Reva Abrol,"A peculiar mosaic of images and aphorisms; an ode to cities and a diatribe against all they promise. This book manages to be wildly imaginative, stretching only a small bit of material into over 100 pages of permutations. I appreciated it, but not for the usual joy of reading a novel. It felt more like completing a landscape puzzle over the course of a few unencumbered evenings.",2019-04-02 00:52:25,5,en,2019-04-02 00:52:25,4,2019,0.00065,0.00012,0.00018,0.00012,0.00018,0.00014,67
Prem Sylvester,"Calvino writes of 'cities' that live in the dialectic of time and space, of memories and the ambiguities of modern living. He writes poetry into the ceaseless shifts of man and the city. What we read of, then, are only glimpses into the possible, an inferno to escape from while remembering that it is these very ashes that will build our coming layers of time and being, whole yet inseparable",2020-05-11 03:32:21,5,en,2020-05-11 03:32:21,5,2020,0.00225,0.0001,0.0002,0.00012,0.00022,0.0002,70
matthew,"my father masqueraded as a jeweller, for some time, and he once showed me a small packet of blue-white paper - not unlike what one might find drugs in - containing diamonds. that's what this book is like. it's a played out metaphor, but both still awed me.",2007-09-30 06:58:22,5,en,2007-09-30 06:58:22,9,2007,0.00087,0.00011,0.00017,0.00011,0.0002,0.00015,48
Anwesha,"I looked closer and closer, and found all the invisible cities appearing before my eyes, scattered and crammed, inextricably sewn all around me; breathing, gnashing, laughing; emerging and disappearing silently, alive and dead at the same time.",2014-04-29 23:02:44,5,en,2014-04-29 23:02:44,4,2014,0.00107,0.00013,0.00017,0.00014,0.0002,0.00019,37
Erik F.,Radiant and enchanting.,2012-03-26 09:28:10,5,en,2012-03-26 09:28:10,3,2012,0.00102,0.00011,0.00018,0.00011,0.00019,0.00016,3
Richard,"Beautiful, but also boring. A lovely travelogue, but with none of the drama of human involvement.",2015-10-10 08:12:34,4,en,2015-10-10 08:12:34,10,2015,0.0066,9e-05,0.00035,0.00011,0.00043,0.00021,16
Sanjana,pack your bags and go.,2016-12-25 03:58:18,5,en,2016-12-25 03:58:18,12,2016,0.08114,0.00025,0.00075,0.00147,0.00234,0.00101,5
Sophia El Kerdini,Half way through it I'm still getting bored...,2018-03-03 06:13:43,1,en,2018-03-03 06:13:43,3,2018,0.00079,0.00011,0.00017,0.00013,0.00018,0.00014,8
Ash,Weird book. I had no idea what was happening. Couldn’t get past the first 8 pages.,2018-05-15 11:07:10,1,en,2018-05-15 11:07:10,5,2018,0.00094,0.0001,0.00018,0.0001,0.00019,0.00014,16
Michael Adams,"Beautiful prose and thoughtful observations. I feel I will need to read this one again someday soon, there was so much to take in for it being such a compact little novel.",2019-01-13 09:14:10,4,en,2019-01-13 09:14:10,1,2019,0.00056,0.00013,0.00018,0.00014,0.00018,0.00015,32
Dity,"A true masterpiece. Or maybe it wasn't. Following its internal argument, it comes down to the same thing; or maybe it doesn't.",2019-02-14 21:59:21,1,en,2019-02-14 21:59:21,2,2019,0.0007,0.00012,0.00019,0.00011,0.00018,0.00014,22
Li Wang,how I miss Venice,2020-04-16 10:30:49,4,en,2020-04-16 10:30:49,4,2020,0.00138,0.0001,0.00017,0.00012,0.00019,0.00017,4
M. Kirollos,"POLO: Perhaps this garden exists only in the shadow of your lowered eyelids, and we have never stopped: you, from raising dust on the fields of battle; and I, from bargaining for sacks of pepper in distant bazaars. But each time we half-close our eyes, in the midst of the din and the throng, we are allowed to withdraw here, dressed in silk kimonos, to ponder what we are seeing and living, to draw conclusions, to contemplate from the distance.KUBLAI: Perhaps this dialogue of ours is taking place between two beggars nicknamed Kublai Khan and Marco Polo; as they sift through a rubbish heap, piling up rusted flotsam, scraps of cloth, wastepaper, while drunk on the few sips of bad wine, they see all the treasure of the East shine around them.POLO: Perhaps all that is left of the world is a wasteland covered with rubbish heaps, and the hanging garden of the Great Khan's palace. It is our eyelids that separate them, but we cannot know which is inside and which outside.That’s a taste of what you’ll find in the poetic descriptions of imagined cities by Marco Polo and his conversations with Kublai Khan.Only in Marco Polo's accounts was Kublai Khan able to discern, through the walls and towers destined to crumble, the tracery of a pattern so subtle it could escape the termites' gnawing.Perhaps the most eccentric book I’ve ever read to date, and certainly the most difficult to describe. I really found it challenging at times to go through till the end and at some pointI thought I'll never do it. To be honest that was because of the magical descriptions of some cities that forced me to re-read over and over again and I seemed never to progress, which, thinking about it now, might not have been necessarily a bad thing.Marco enters a city; he sees someone in a square living a life or an instant that could be his; he could now be in that man's place, if he had stopped in time, long ago; or if, long ago, at a crossroads, instead of taking one road he had taken the opposite one, and after long wandering he had come to be in the place of that man in that square. By now, from that real or hypothetical past of his, he is excluded; he cannot stop; he must go on to another city, where another of his pasts awaits him, or something perhaps that had been a possible future of his and is now someone else's present. Futures not achieved are only branches of the past: dead branches.""Journeys to relive your past?"" was the Khan's question at this point, a question which could also have been formulated: ""Journeys to recover your future?""And Marco's answer was: ""Elsewhere is a negative mirror. The traveler recognizes the little that is his, discovering the much he has not had and will never have.""I enjoyed it for most parts but maybe I'll appreciate it more in a different age, time, location, or state-of-mind. I generally blame the bustling London for my diminishing capability of tasting poetry and books of this nature, or probably I needed to find the substance Marco Polo and Kublai Khan, or rather Calvino, were smoking. ""And yet I have constructed in my mind a model city from which all possible cities can be deduced,"" Kublai said. ""It contains everything corresponding to the norm. Since the cities that exist diverge in varying degree from the norm, I need only foresee the exceptions to the norm and calculate the most probable combinations.""""I have also thought of a model city from which I deduce all the others,"" Marco answered. ""It is a city made only of exceptions, exclusions, incongruities, contradictions. If such a city is the most improbable, by reducing the number of abnormal elements, we increase the probability that the city really exists. So I have only to subtract exceptions from my model, and in whatever direction I proceed, I will arrive at one of the cities which, always as an exception, exist. But I cannot force my operation beyond a certain limit: I would achieve cities too probable to be real.""I must say though that I found some city descriptions to be just ludicrous and too gaudy and tacky by any means and with any state of mind, of course one doesn't expect all the poems in a book to be up to the same level or to taste all of them equally, but at some point I had to say this is absolute nonsense; The emperor has no clothes and all that glistens is not gold. But some other cities were just brilliant; Mauralia, the metropolis, formerly provincial city, is one of them:Beware of saying to them that sometimes different cities follow one another on the same site and under the same name, born and dying without knowing one another, without communication among themselves. At times even the names of the inhabitants remain the same, and their voices' accent, and also the features of the faces; but the gods who live beneath names and above places have gone off without a word and outsiders have settled in their place. It is pointless to ask whether the new ones are better or worse than the old, since there is no connection between them, just as the old post cards do not depict Maurilia as it was, but a different city which, by chance, was called Maurilia, like this one.Descriptions of cities at times were descriptions of human emotions and experiences. Each city gives the readers something to think about, and some will resonate with their experience.Chloe, Eutropia were memorable, as well as Baucis, Leandra. I found the cities of the dead to be particularly intriguing, my favourite of which is Adelma:I thought: ""You reach a moment in life when, among the people you have known, the dead outnumber the living. And the mind refuses to accept more faces, more expressions: on every new face you encounter, it prints the old forms, for each one it finds the most suitable mask.""The stevedores climbed the steps in a line, bent beneath demijohns and barrels; their faces were hidden by sackcloth hoods; ""Now they will straighten up and I will recognise them,"" I thought, with impatience and fear. But I could not take my eyes off them; if I turned my gaze just a little toward the crowd that crammed those narrow streets, I was assailed by unexpected faces, reappearing from far away, staring at me as if demanding recognition, as if to recognise me, as if they had already recognised me. Perhaps, for each of them, I also resembled someone who was dead. I had barely arrived at Adelma and I was already one of them, I had gone over to their side, absorbed in that kaleidoscope of eyes, wrinkles, grimaces.I thought: ""Perhaps Adelma is the city where you arrive dying and where each finds again the people he has known. This means I, too, am dead."" And I also thought: ""This means the beyond is not happy.""A recommended read for the dreamers and poetry fans out there , but like other works of similar nature, it definitely needs a contemplating mood and a quiet location away from the city; maybe in the country or in a park, under a tent in the middle of wilderness or lying on a beach. Otherwise, in a bus for instance, it will sound ridiculous (or more ridiculous than it really is if you don’t like it)Cecilia the continuous city, Olinda the city that grows in concentric circles were special. Irene as well:If you saw it, standing in its midst, it would be a different city; Irene is a name for a city in the distance, and if you approach, it changes.For those who pass it without entering, the city is one thing; it is another for those who are trapped by it and never leave. There is a city where you arrive for the first time; and there is another city which you leave never to return. Each deserves a different name; perhaps I have already spoken of Irene under other names; perhaps I have spoken only of Irene.Eusapia; another dead cityThey say that this has not just now begun to happen: actually it was the dead who built the upper Eusapia, in the image of their city. They say that in the twin cities there is no longer any way of knowing who is alive and who is dead.Raissa, the unhappy cityAlso in Raissa, city of sadness, there runs an invisible thread that binds one living being to another for a moment, then unravels, then is stretched again between moving points as it draws new and rapid patterns so that at every second the unhappy city contains a happy city unaware of its own existence.Thekla:If you ask ""Why is Thekla's construction taking such a long time?"" the inhabitants continue hoisting sacks, lowering leaded strings, moving long brushes up and down, as they answer ""So that it's destruction cannot begin."" And if asked whether they fear that, once the scaffoldings are removed, the city may begin to crumble and fall to pieces, they add hastily, in a whisper, ""Not only the city.""Trude:""You can resume your flight whenever you like,"" they said to me, ""but you will arrive at another Trude, absolutely the same, detail by detail. The world is covered by a sole Trude which does not begin and does not end. Only the name of the airport changes.""And Perinthia; the city that was modelled following astronomer’s calculations:Perinthia's astronomers are faced with a difficult choice. Either they must admit that all their calculations were wrong and their figures are unable to describe the heavens, or else they must reveal that the order of the gods is reflected exactly in the city of monsters.I re-read the book trying to contain it entirely in my mind. Reading it quickly, I thought, might present a better view; since patterns and forms are better discerned at a distance. Then a third time to extract my favorite parts, and started to realize it’s not nearly as bad as I might thought at times, and that I will probably revisit it again in the future, perhaps then I will be able to find the meanings that eluded me, or I’ll learn how to imagine clothes to put on the emperor’s naked body.Kublai asks Marco, ""When you return to the West, will you repeat to your people the same tales you tell me?""""I speak and speak,"" Marco says, ""but the listener retains only the words he is expecting. The description of the world to which you lend a benevolent ear is one thing; the description that will go the rounds of the groups of stevedores and gondoliers on the street outside my house the day of my return is another; and yet another, that which I might dictate late in life, if I were taken prisoner by Genoese pirates and put in irons in the same cell with a writer of adventure stories. It is not the voice that commands the story: it is the ear.""And a perfect endingHe said: ""It is all useless, if the last landing place can only be the infernal city, and it is there that, in ever-narrowing circles, the current is drawing us.""And Polo said: ""The inferno of the living is not something that will be; if there is one, it is what is already here, the inferno where we live every day, that we form by being together. There are two ways to escape suffering it. The first is easy for many: accept the inferno and become such a part of it that you can no longer see it. The second is risky and demands constant vigilance and apprehension: seek and learn to recognize who and what, in the midst of the inferno, are not inferno, then make them endure, give them space.""",2012-04-03 05:37:03,4,en,2012-04-03 05:37:03,4,2012,0.00673,0.00011,0.0004,0.00014,0.00054,0.0003,1991
charles,"invisible cities' extremely impressive adherence to its structure is, in my opinion, both its greatest strength and achilles' heel. the good stuff first, though.fundamentally invisible cities is the literary equivalent of a set of theme and variations, and whilst there are better examples, i'm immediately reminded of bach's goldberg variations -- bach's work is bookended by an identical opening and closing canon with myriads of variations between, whilst calvino likewise bookends his work by creating an intricate structure of conical expansion and contraction with spiralling variations in between. it's both stylistically beautiful, on a ""meta"" level that proves how absurdly talented the oulipo group were at their game, as well as narratively, tracking the ebbing and flowing of the novel's various themes as they are simultaneously introduced, expounded and left behind. calvino has constructed a kind of city, a borgesian labyrinth within the structure of the novel itself, if you will. that it succeeds at all and reads cohesively without conscious attention to its experimental structure is a marvel of literary ingenuity.anyhow, invisible cities stuns with its flashes of poetic brilliance (and there are many such flashes, calvino really is a master of succintness, and if this novel proves anything it's that i ought to read his short stories someday), but i find its repetition ultimately impeding, especially when its 55 cities mostly follow a similar pattern of description, a larger-than-life city adhering to a particular feature, often surreal or fantastical in nature, and the introduction of various ironies by which said feature clouds one's perception of the city as a whole.nevertheless, that it only occasionally feels redundant or overreaching is a testament to calvino's gifts as a writer and his uniquely playful and exploratory approach to postmodernism as a whole (ugly word, but allow me regardless). still it's a great novel on the whole, one which deserves to be read and loved both for its many triumphs and the necessary flaws its structure behoves. permitting me to be musically sacrilegious, i've never quite enjoyed the goldberg variations as much as i know i'm obliged to for this same reason.bonus: if you want to embark on the ultimate postmodern date, find a partner willing to tolerate an absurd amount of your bullshit, then find the longest bus route in your city and read invisible cities cover to cover with them during the entire duration, optimally finishing the book at the same time as the bus reaches its terminus. then ride the exact same route back, this time discussing the novel and reliving it entirely through the lens of mutual critique. calvino would approve.",2022-10-29 02:33:49,3,en,2022-10-29 02:33:49,10,2022,0.01422,0.00041,0.01043,0.00033,0.0017,0.00043,433
Jemma Dixon,"I'm sort of at a loss for words with this book . . . It was less than I expected it would be, although it did make me think things I'd never thought of before. The fact I'll be in Venice this year feels as surreal as the novel itself. All I can say, is that what exists outside of our existence (like, things we have never seen before), how can we know that it's real? What truly exists? Social media has expanded our lives outward so much that we don't just have our own microcosmic worlds to mull over, we have far reaching cities and distant islands and places we, quite literally, could never have imagined. What if we sit and stare and see the patterns of ourselves reflected in these places? What if there is a part of us that knows some cities are only to be visited once, never to return to? Or we can return, but that initial meeting is never quite the same. I'm meeting someone really special to me in Paris this year - is this real? How is that real? It doesn't feel real... neither does the book. It's all thought, conception, ideas, mirrored reflections. Are cities what we make of them? What we bring to it? There's this perpetual sense of always missing something, even when I'm at home or overseas - I wonder what will fill it up. Maybe dreams or cities or bright eyed stares from strangers in foreign lands... I have no idea. Calvino has so much to unpack, I'm not sure where to start, and I don't think I want to. The experience was enough. I'd still return to this book a tourist. I'm a tourist of my own self, so of course I'll never feel like I can fully discover anything -- there's a happy kind of magic in that. I like it.",2017-05-06 11:37:51,2,en,2017-05-06 11:37:51,5,2017,0.00079,0.00012,0.00019,0.00012,0.00017,0.00015,316
Sunny,"Maybe I had a bad translation of this book but I didn’t see what was so amazing about it. I loved Calvino’s baron in the woods but this one was a little off the mark for me or maybe I didn’t getted it. It’s about a series of discussions between Kublai Khan the Mongol leader and Marco Polo the explorer. In the discussion Marco Polo basically describes the cities that he has seen on his travels to the Khan – most of them are made up and pretty incredible sounding. Magical realism / utopian in a way but for some reason I didn’t get into them – maybe I don’t like short stories. One of the brilliant cities Marco describes is called Eutropia and I would love to try that if I ever ruled England or became Mayor of London:•	“Eutropia is not one, but all these cities together; only one is inhabited at a time, the others are empty; and this process is carried out in rotation. Now I shall tell you how. On the day when Eutropia’s inhabitants feel the grip of weariness and no one can bear any longer his job, his relatives, his house and his life, debts, the people he must greet or who greet him, then the whole citizenry decides to move to the next city, which is there waiting for them, empty and good as new; there each will take up a new job, a different wife, will see another landscape on opening his window, and will spend his time with different pastimes, friends, gossip.”",2017-03-06 06:01:39,3,en,2017-03-06 06:01:39,3,2017,0.00078,0.00011,0.00017,0.00012,0.00018,0.00015,261
Mena Asaad,"Finished reading this book in Arabic with 3 starsReread it in English with 4 starsRead many reviews, quotes and videos and I’ll definitely give it a five.They say that Italo Calvino has hands of a magician and indeed this book is a work of magic.You find yourself going through cities guided by Calvino’s beautiful language , myths and metaphors.Had so many wow-ing moments passing through some paragraphs. I mean you don’t know if he’s speaking about one city, more than one or if he’s even speaking about a city !! And the closing paragraph about inferno is my absolute favorite.“The inferno of the living is not something that will be; if there is one, it is what is already here, the inferno where we live every day, that we form by being together. There are two ways to escape suffering it. The first is easy for many: accept the inferno and become such a part of it that you can no longer see it. The second is risky and demands constant vigilance and apprehension: seek and learn to recognize who and what, in the midst of inferno, are not inferno, then make them endure, give them space.”I admit I didn’t fully understand the book I need more time and to reread with a different mindset. This is not a book to read. This is a book to live.",2018-08-20 06:16:13,5,en,2018-08-20 06:16:13,8,2018,0.00291,0.0001,0.00027,0.00012,0.00023,0.00018,228
Val Timke,"Calvino's ""Invisible Cities"" is more than poignant--it is accessible. I find that it is not flowerily pretentious for a book that is literally describing dozens of different cities, each given only 1-3 pages.The ideas in this story are unique. Some of my favorite cities were the ones that involved mirror cities. When I started a new mirror city story, a part of me felt it had already been done before in another city, but only for a moment. Then, Calvino complicated the expected. I loved the ends of these mirror city stories--they all further complicated the appearance of these cities. It is true, a few of the cities are less interesting than the others. But I think there only ended up being a couple I didn't feel strongly about, not enough for me to have enjoyed it as less than a five-star read.This book is fast-paced, poetic, and as mentioned before, accessible. I'd recommend this in a heartbeat. Up next for me: Calvino's ""The Baron in the Trees."" I can't wait to read more from him!",2019-12-28 11:29:02,5,en,2019-12-28 11:29:02,12,2019,0.00063,0.00012,0.00018,0.00012,0.00017,0.00014,176
Charlotte Jones,"Yes, this is my second Calvino book this year! I usually read one book by an author and then for some reason never revisit their work again. However, I saw Invisible Cities in my favourite Cambridge book shop and thought I'd dive back into Calvino's wonderfully wacky work.This book appealed to me as it focuses on the city of Venice but in a surreal and fractured way that I feel Calvino carries throughout his works. The descriptions of these strange and magical locations were great vignettes, giving you insight into other worlds. Written in chapters of two pages at the longest, this book is quick to get through but I enjoyed savouring it, reading it in three chunks.Overall, I prefer this book to If on a winter's night a traveller and since I really enjoyed that one, I'm excited to try more by this author.5 out of 5 stars!",2020-03-11 07:31:49,5,en,2020-03-11 07:31:49,3,2020,0.00065,0.00012,0.00017,0.00013,0.00017,0.00014,146
Rishi,"Invisible Cities is not one book, but two. The first exists in the distance, sitting closed on your bedside table. The second takes over your reality, its spine cracked open in your hands. Each acknowledges a different version of you. While it sits closed on your bedside table you are one kind of person: a part-former, part-future reader with memories of what you have already read and intuitions about what you will read next. While the book is open in your hands, you are someone else: a puzzle-solver and a skeptic, a romantic and an eavesdropper, listening in on a grand conversation between an aging emperor named Kublai Khan and an imaginative merchant named Marco Polo. In either case, you are a person in love with a book. A magical book, full of poetry, which strives to examine everything from the deception of memory to the subversion of death. In one moment, it's a breezy journal from a faraway place. In another, it's a profound discussion of ontology and mereology, of what it is to be, to be a part of, to be made of parts. Or maybe it's all of these things at once, in the very same moment. A dream.",2019-03-16 01:48:13,5,en,2019-03-16 01:48:13,3,2019,0.01802,0.0001,0.00052,0.00021,0.0013,0.00031,202
Heather Henderson,"Every once in a while I read a book that when I put it down, I immediately know that I want to re-read it. This is one of them. I want to re-read this slowly, over the course of a month, savoring each city and thinking about the meaning in the description of each. This book is more poetic prose than novel, there is a very loose plot but the book is essentially descriptions of 50+ fictitious cities. Some of the cities have such interesting ideas that they could be entire books or short stories in themselves if expanded upon. Expect a re-read later in this year with an extended review. Looking forward to reading more by Italo Calvino.",2021-02-03 22:39:18,5,en,2021-02-03 22:39:18,2,2021,0.00055,0.00013,0.00018,0.00014,0.00018,0.00015,119
cassia,"Started this in college for a 4D media arts class and only got around to finishing it this month, but I’m glad I did. I don’t quite know how to describe this book with coherent ideas but at times, it gave me this sense of visceral weightlessness, like that moment when you hit a large bump in the road and you’re not sure if you’re still going up or coming back down. The subversion of expectation and perception struck me deeply on an emotional level that I’m always looking for in a novel. Beautiful lyricism and imagery too!!",2021-05-30 00:34:54,5,en,2021-05-30 00:34:54,5,2021,0.00114,0.0001,0.00018,0.00011,0.00019,0.00014,98
DeAnna Knippling,"Marco Polo describes 55 impossible cities to his employer, Kublai Khan. Impossible cities...entirely too possible cities.My impression here was, ""Aha! This is where some of the references in Neil Gaiman's The Sandman come from."" True, The Travels of Marco Polo is probably the originating reference...but some of these cities are *so* weird and the organizing idea behind them (if you read Invisible Cities, look up the book on Wikipedia afterwards) so unique, that yes, I think it's a strong possibility. The idea of the Soft Places, at the very least.Anyway, VERY difficult read, but worth it.",2018-01-08 05:31:26,5,en,2018-01-08 05:31:26,1,2018,0.00068,0.00012,0.00018,0.00011,0.00017,0.00014,96
Whit,"4.5 - Maybe 5 given time.This is a hugely important book. I wish it had been in my possession this time last year, I believe if it had it would have provided some kind solace in light of living in a society that was deteriorating around me. A year on, this novel is no less important, but I am perhaps viewing through a different lens - to say this is an examination of society is reductive, it is far more - mystical - than that. It bathes in the things which sociology cannot explain, it examines the mystery that is human existence with warmth and affection - finding ways that even the detritus of our lives make up the whole of the Human Soul.This is a work of profound mysticism. I am inclined to say it is one of the best books I have ever read - I shall most certainly be returning to it in time. Thank you Caspar for this gift. Could not recommend this enough!!",2022-01-04 08:54:03,4,en,2022-01-04 08:54:03,1,2022,0.00066,0.00012,0.00017,0.00013,0.00017,0.00014,168
Chris,"I wish this had been one of the books I found as a child! I loved this. Descriptions of imaginary fantastical cities. Metaphors and wisdom if you look in the right direction at the right moment. Very enjoyable for me and I will reread this often. If you want plot and action, this isn't the book for you. I figure plenty of books have plot and action, this was a nice change for me.",2021-08-09 05:05:34,5,en,2021-08-09 05:05:34,8,2021,0.0006,0.00013,0.00017,0.00014,0.00017,0.00014,74
talia ♡,"""Memory's images, once they are fixed in words, are erased,"" Polo said. ""Perhaps I am afraid of losing Venice all at once, if I speak of it. Or perhaps, speaking of other cities, I have already lost it, little by little.""complicated. extraordinary. haunting. beautiful.i will be forever moved by this one.",2022-04-09 06:38:29,5,en,2022-04-09 06:38:29,4,2022,0.00066,0.00012,0.00018,0.00013,0.00017,0.00015,51
