name,review,time,rating
vivliovision,"Η πόλη είναι ανθρώπινο δημιούργημα, αλλά ο πολίτης είναι δημιούργημα της πόλης. Η πόλη, όμως, τί είναι; Μια μήτρα; Μια δομή; Ένα όνομα; Μία αρχιτεκτονική σύλληψη; Μια παταγώδης πολεοδομική αποτυχία; Ένας οργανισμός; Ένας λαβύρινθος; Ένα κοινό σημείο επαφής; Ένας χώρος δημόσιος; (Ή, μήπως, κοινόχρηστος;) Ένα χωνευτήρι; Μια αγορά ή ένας τόπος συναλλαγών; Μια διαφυγή; Ένα πλαίσιο αναφοράς; Μια κυψέλη; Ένας άλλος τρόπος ζωής; Ένας (ιστορικός) συμβιβασμός; Μια πολυδαίδαλη συνοικία; Μια λαστιχένια γειτονιά; Ένα σύμβολο; Μια βαθύτερη ανάγκη; Μια σιωπηρή σύμβαση; Ένα σχήμα; Μια αφαίρεση; Το ιδεατό παλάτι της συλλογικής μνήμης; Μια ξένη γλώσσα; Η αναζήτηση ενός συλλογικότερου νοήματος; Ή μήπως είναι, τελικά, η υλική έκφραση της αρχετυπικής επιθυμίας μας για συνύπαρξη; Η ιδιωτική οδός σε ποιό σχέδιο πόλης εντάσσεται; Ο Ιτάλο Καλβίνο δεν έχει να μας δώσει αντικειμενικές απαντήσεις. Ωστόσο, έχει να μας υποδείξει ποικίλα υποκειμενικά παραδείγματα. Όπως διαβάζει κανείς ανάμεσα στις γραμμές ενός κειμένου, έτσι διαβαίνει τους δρόμους και των Αόρατων Πόλεων. Όλα βρίσκονται εκεί· σε κοινή θέα· εκτεθειμένα· κι όμως αθέατα. Ο Καλβίνο στυλώνει το βλέμμα του πέρα από τις ‘απατηλές γραμμές’ των κοινών αντιλήψεων και ξεκλέβει φευγαλέα στιγμιότυπα. Μια πόλη φάντασμα και στο βάθος το απέραντο άστυ· το άπειρο· το αδοκίμαστο· το πολύσημο. Η αθέατη πόλις και το, αναπόδραστο, παλίμψηστο της περιγραφής της. Τον καιρό που ο Καλβίνο δημοσιεύει τις Αόρατες Πόλεις η ανθρωπότητα έχει αρχίσει πια να μεταναστεύει μαζικά στην Μητρόπολη. Από το χωρίο στην κοινότητα. Από την κοινότητα στην πολίχνη. Από την πολίχνη στην πόλη. Από την πόλη στα προάστια. Κι απ’ τα προάστια στην μητρόπολη. Στην απόληξη των Αόρατων Πόλεων τρεμοπαίζουν οι λαμπτήρες χαμηλής πυρακτώσεως του μαζικού μας πολιτισμού. Φυσική ή μοιραία εξέλιξη; Πάντως, δεν μοιάζει με τη γη της επαγγελίας. Ιδεώδης πόλη δεν υπάρχει. Εξ ορισμού, αποκλείεται. Ωστόσο, υπάρχει το ιδεώδες της πολιτείας. Ίσως η πόλις των ιδεών. Ίσως η αιώνια πόλις. Χωρίς εισόδους. Δίχως επίκεντρο. Μια πόλη μαγική. ... Στο σημείο αυτό ο Κουμπλάι Χαν τον διέκοπτε ή φανταζόταν πώς τον διέκοπτε, με μια ερώτηση σαν αυτή: «Μα προχωράς με το κεφάλι πάντοτε στραμμένο προς τα πίσω;» Ή: «Πώς συμβαίνει όλα όσα βλέπεις να είναι πάντα πίσω σου;» Ή ακόμα: «Το ταξίδι σου ξετυλίγεται μονάχα προς το παρελθόν;» ... Τώρα πια, από εκείνο το αληθινό ή υποθετικό του παρελθόν, ο ίδιος είναι αποκλεισμένος· δεν μπορεί να σταματήσει· πρέπει να συνεχίσει μέχρι να φτάσει σε μια άλλη πόλη όπου τον περιμένει ένα άλλο παρελθόν του, ή κάτι που να ήταν ένα πιθανό του μέλλον και τώρα είναι το παρόν κάποιου άλλου. Ένα απραγματοποίητο μέλλον είναι μονάχα ένα κλαδί του παρελθόντος: ένα ξερό κλαδί. ... Άλλη είναι η πόλη για όποιον περνά χωρίς να μπει μέσα, και άλλη για όποιον εγκλωβίζεται σε αυτή και δεν μπορεί να ξεφύγει· άλλη είναι η πόλη στην οποία φτάνει κανείς για πρώτη φορά, άλλη είναι εκείνη που αφήνει πίσω του για να μην ξαναγυρίσει ποτέ· η καθεμιά αξίζει ένα διαφορετικό όνομα Η μετάφραση του Ανταίου Χρυσοστομίδη δίνει στην ελληνική έκδοση των Αόρατων Πόλεων ένα ισχυρό, συγκριτικό, πλεονέκτημα.",2011-08-08 19:28:43,5
Xavier Pinho,"""Os futuros não realizados são apenas ramos do passado: ramos secos.""",2022-09-13 05:59:23,4
Yasin Ünan,"Calvino'nun kaleminde büyülü bir şeyler var sanki. Yazdıkları bir sayfa önce çocuk masalı tadı verirken bir sayfa sonra hayat kadar karmaşık görünüyor gözüme.Bakması güzel, karmakarışık bir sadelik.",2020-08-03 04:09:49,5
Filipe,"A quite disorienting caleidoscope of words. And also of cities that exist and don't exist. I guess there is something playing around here, a joke about contradictions that exist deep in the human heart and that translates itself to the geometry of cities and of life. As I read it, I couldn't forget the novel The Glory of the Empire, written by Jean d'Ormesson and it's imaginative tale about an empire and the cities that inhabit it: an empire of various multiplicities of peoples and ethnicities and the hopes, fears, love and violence that constituted this fictional empire, and because it is human it could contain all that. I also remembered some of the exquisite closing sections of The Cabala written by the great Thornton Wilder, in which the spirit of Dante Alighieri provides some advice for the protagonist:""Know, importunate barbarian, that I spent my whole lifetime under a great delusion, -that Rome and the house of (emperor) Augustus were eternal. Nothing is eternal save Heaven. Romes existed before Rome and when Rome will be a waste there will be Romes after her. Seek out some city that is young. The secret is to make a city, not to rest in it. When you have found one, drink in the illusion that she too is eternal.""",2020-10-09 10:23:30,4
Carmen Torres Martinez,Una frase final preciosa pero me ha parecido un poco aburrido :),2022-09-25 20:32:41,2
Enea,"Un libro de maravillas. Uno de esos extraños casos donde la forma (la teoría y la experimentación) se une al contenido (lo narrado y el estilo) con maestría, soberbia, calidez. Con todo lo que nos gusta a los que deseamos un desafío y, al mismo tiempo, una buena historia que contar. O muchas historias. Infinitas. Este es un libro indisoluble de Borges, es como un hijo de Otras Inquisiciones. Estructuralmente es un libro de relatos enmarcado en charlas que Marco Polo tiene con Kublai Kan (el nieto de Genghis). El emperador busca conquistar todo el continente, extender el imperio, conocer el mundo en su totalidad. Marco Polo, de alguna manera, va en busca de recovecos, de imposibilidades, de futuros-posibles. Cada sección de libro se abre y cierra con uno de estos intercambios. En el interior, se suceden, como fotografías o como picos de una cadena montañosa, ejercicios de ciudades, con nombre de mujer, y su relación con la memoria, los signos, los ojos, lo sutil, los muertos, el cielo. Los ejercicios no son consecutivos, sino que se intercambian, lo cual de una sensación de complejidad y, además, esconde a veces los parecidos de algunos casos. Todas estas ciudades son ficcionales. Pueden ser ciudades construidas en una telaraña o sobre picos como patas de un flamenco. Pueden ser ciudades pensadas bajo los designios del cielo (¿o es la ciudad la que imagina el cielo?). Pueden ser ciudades donde van a parar los muertos o pueden ser ciudades que esconden tres ciudades en una (la de los vivos, los muertos y los no-nacidos). Pueden ser ciudades que existen en la mente de un viajero cansado. Pueden ser ciudades que tienen los signos trastocados, que se esconden en nombres. Y pueden ser de algunas formas más. Los ejercicios de Calvino siempre buscan torcer la imaginación. Apunta a condiciones imposibles, contradicciones, juegos de opuestos que son los mismos, juegos infinitos, diferencias e inversiones. Ese tipo de cosas. Las mismas que le gustaban a Borges, claro. Y aparte es riquísimo el vocabulario. Una joya. ""Mientras a un gesto tuyo, sire, la ciudad una y última alza sus muros sin mácula, yo recojo las cenizas de las otras ciudades posibles que desaparecen para cederle lugar y no podrán ser reconstruidas ni recordadas más. Sólo si conoces el residuo de infelicidad que ninguna piedra preciosa llegará a compensar, podrás calcular el número exacto de quilates que debe tener el diamante final, y no errarás desde el principio los cálculos de tu proyecto"".",2020-07-07 00:08:28,5
Luciana Betenson,"Que livro ímpar! E que demorou para me conquistar. Mas, aos poucos, os relatos sobre as cidades foram me cativando. São quase poemas, cheios de símbolos, cada cidade com as suas particularidades e impactando o(a) leitor(a) de uma maneira diferente. Acho que vale a pena, para quem for iniciar a leitura deste livro, pesquisar antes na internet sobre a classificação que o Italo Calvino faz das cidades descritas no livro. Cada grupo de cidades aborda uma temática e uma visão próprias e vale a pena entender um pouco antes de ler a respeito. Gostei particularmente das “cidades contínuas” (elementos de antropofagia, destruição do meio, aberrações, megalópoles, planejamento urbano, questões ambientais) e das “cidades e os mortos” (ciclos como presença estruturadora da cidade, mortos e vivos, nascimentos e mortes, inícios e fins).“Para que serve, então, viajar tanto? [...] Marco Polo imaginava responder (ou Kublai imaginava a sua resposta) que, quanto mais se perdia em bairros desconhecidos de cidades distantes, melhor compreendia as outras cidades que havia atravessado para chegar até lá, e reconstituía as etapas de suas viagens, e aprendia conhecer o porto de onde havia zarpado, e os lugares familiares de sua juventude, e os arredores de casa, e uma pracinha de Veneza em que corria quando era criança”.“... na origem da cidade dos justos está oculta, por sua vez, uma semente maligna; a certeza e o orgulho de serem justos – e de sê-lo mais do que tantos outros que dizem ser mais justos do que os justos –, fermentando rancores, rivalidades, teimosias, e o natural desejo de represália contra os injustos se contamina pelo anseio de estar em seu lugar e fazer o mesmo que eles. Uma outra cidade injusta, portanto, apesar de diferente da anterior, está cavando seu espaço dentro do duplo invólucro das Berenices justa e injusta”.“O inferno dos vivos não é algo que será; se existe, é aquele que já está aqui, o inferno no qual vivemos todos os dias, que formamos estando juntos. Existem duas maneiras de não sofrer. A primeira é fácil para a maioria das pessoas: aceitar o inferno e tornar-se parte deste até o ponto de deixar de percebê-lo. A segunda é arriscada e exige atenção e aprendizagem contínuas: tentar saber reconhecer quem e o que, no meio do inferno, não é inferno, e preservá-lo, e abrir espaço”.",2019-07-25 03:37:34,4
Vince Will Iam,"Calvino is truly one of my favorite authors but this time I was quite disappointed. The whole book is based on the author's ramblings on the concept of cities and the passing of time. It's more philosophy than fiction. Though I am used to Calvino's literary innovations, this time I was not immersed in his lovely, surreal descriptions.",2022-11-18 21:18:46,3
Argelia,"“Las ciudades, como los sueños, están construidas de deseos y de miedos, aunque el hilo de su discurso sea secreto, sus reglas absurdas, sus perspectivas engañosas, y toda cosa esconda otra”. –I.CalvinoLas ciudades invisibles nos enfrena con un libro sumamente novedoso, pues bien podemos concebirlo como una novela divida en capítulos más bien independientes, o una serie de pequeños relatos unidos por la conversación entre Marco Polo y Kublai Kan; e incluso a un poema extenso dedicado a esas manifestaciones prodigiosas de la civilización humana: las ciudades.Calvino hace de su libro un homenaje a todo aquello que en realidad configura las ciudades: aquellos detalles imperceptibles y esas leyes no escritas que permiten que las ciudades, por más fantásticas que parezcan, se sustenten como posibles. La existencia de una ciudad flotante o de otra que se recicla a sí misma cada día resulta inverosímil, pero nuestras ciudades podrían resultar aún más increíbles si nos dedicáramos a mirar con detenimiento todas esas líneas invisibles que las sostienen. Las ciudades modernas son tan increíblemente disparatadas como los parajes de ensueño que describe Marco Polo al sorprendido Kan, quien se empeña en escuchar de voz del mercader veneciano los secretos de todas las ciudades que existen en su reino, un reino que él mismo sabe está destinado a caer.El estilo de Calvino resulta atrevido y seductor.Todas las ciudades llevan nombre de mujer y en sí se nos presentan como un solo botón que se abre. Las descripciones se van tejiendo con lirismo en la imaginación del lector como lo hacen en la mente de Kublai Kan, quien a lo largo de las narraciones de Marco Polo reflexiona sobre su reino, las leyes que rigen sobre las ciudades que lo conforman, así como los miedos y los deseos del hombre, los cuales, finalmente, construyen estas urbes.Así es como a través de los ojos, los símbolos, la memoria y la sutileza, las ciudades nos van rebelando no sólo un mundo fantástico y encantador, sino una introspección hacia la muerte, la esperanza, el bien, el mal y la necesidad humana de preservar su legado sobre la tierra.",2011-07-22 17:15:10,5
Paolo del ventoso Est,"Ecco un libro che consiglio a tutti quelli che - come me - vengono presi da violenti attacchi di bulimia letteraria. A quelli che bramano il voltar pagina, guadagnando troppo rapidamente la fine di un libro (e contemporaneamente iniziandone altri due o tre), con l'occhio ormai allenato a legger in autobus, sotto una tettoia al buio mentre piove, camminando per strada col sottofondo di clacson, squilli di telefono, o ancora colpevolmente rifugiati in un angolo della casa mentre un neonato impegna severamente le orecchie della moglie, mentre l'occhio scorre le ultime righe possibili fino all'esplodere del senso di colpa (in taluni casi, l'esplodere dell'ira della consorte). Ecco, a tutti questi librofaghi compulsivi è particolarmente indicato Le città invisibili.Il primo indizio: se googli il titolo, troverai pochi commentari. Trovi invece tutte le città immaginate da Calvino, riportate sine glossa, corredate da bellissimi acquerelli, pastelli, olii su tela, litografie o quant'altro possa tradurre la fantasia in immagine. Ognuno si sceglie la città fantastica che più gli va a genio, e la posta sul blog; cinquantacinque nomi femminili, per altrettante ammalianti descrizioni in frammenti fotografici vivissimi, magici, evocazioni dal sapore orientale del fior fiore della capacità immaginifica umana. Narrati, e che volete di più, dal viaggiatore dei viaggiatori, Marco Polo, all'imperatore degli imperatori, Kublai Khan.Dicevo, dedicato ai bulimici letterari; già, perché non puoi evitare di fermarti a rimirare inebriato le bellezze stilistiche che Calvino ti disegna sotto gli occhi. La sinfonia di parole ti avvolge, rallenta il tuo passo allenato, e non ti sazi di contemplare il volteggio degli aquiloni di Anastasia o dei bassi dirigibili a Zirma, il salto dalla finestra degli amanti di Zaira, le assurde palafitte di Zenobia, lo specchio asimmetrico di Valdrada, i fili che tengono sospesa Ottavia... Tutto è creato per suscitare un fascino antico, dolcemente addormentato nei ricordi dell'infanzia; lo stupore.Un canto d'amore struggente per città che forse non sono mai esistite, né esistono né mai esisteranno; per città che si illuminano solo sognandole.",2013-05-08 18:06:10,4
Edita,"When a man rides a long time through wild regions he feels the desire for a city. Finally he comes to Isidora, a city where the buildings have spiral staircases encrusted with spiral seashells, where perfect telescopes and violins are made, where the foreigner hesitating between two women always encounters a third, where cockfights degenerate into bloody brawls among the bettors. He was thinking of all these things when he desired a city. Isidora, therefore, is the city of his dreams: with one difference. The dreamed-of city contained him as a young man; he arrives at Isidora in his old age. In the square there is the wall where the old men sit and watch the young go by; he is seated in a row with them. Desires are already memories.*“Journeys to relive your past?” was the Khan’s question at this point, a question which could also have been formulated: “Journeys to recover your future?” And Marco’s answer was: “Elsewhere is a negative mirror. The traveler recognizes the little that is his, discovering the much he has not had and will never have.”*It is the mood of the beholder which gives the city of Zemrude its form. If you go by whistling, your nose a-tilt behind the whistle, you will know it from below: window sills, flapping curtains, fountains. If you walk along hanging your head, your nails dug into the palms of your hands, your gaze will be held on the ground, in the gutters, the manhole covers, the fish scales, wastepaper. You cannot say that one aspect of the city is truer than the other, but you hear of the upper Zemrude chiefly from those who remember it, as they sink into the lower Zemrude, following every day the same stretches of street and finding again each morning the ill-humor of the day before, encrusted at the foot of the walls. For everyone, sooner or later, the day comes when we bring our gaze down along the drainpipes and we can no longer detach it from the cobblestones. The reverse is not impossible, but it is more rare: and so we continue walking through Zemrude’s streets with eyes now digging into the cellars, the foundations, the wells.",2016-06-28 17:23:46,3
Esma T,"3.5Kitabın yorumunu henüz sıcakken yazmak isterdim ama bir haftalık bir rötar söz konusu ne yazık ki.Calvino ile bu kitapla tanıştım. Yazarın anlatım tarzı çok farklı, masalsı bir üslupla sizin karşınıza çıkıyor, başta farklı gelse de sayfalar ilerledikçe alışıyorsunuz. Marco Polo'nun yaptığı seyahatleri Kubilay Han'a anlatırken bizde onlara kulak veriyor ve 55 'olmayan' kente yolculuk yapıyoruz. Calvino her kentte farklı bir şey işlemiş, hepsinin bir alt mesajı var, açıkçası tüm alt mesajları doğru anlayabildiğimden emin değilim ama bazılarını çok sevdim. ""Anlatıya yön veren ses değil,kulaktır.""Kitabın farklı bir havası var, okurken masalsı anlatımı beni biraz sıksa da büyüleyici bir tarafı da vardı kitabın, insanın zihninde farklı bir yankı uyandırdığı muhakkak. Görünmez Kentler'i çok sevmesem bile beni etkilediği ve farklı hisler yaşattığı bir gerçek. Kitabın çok sevdiğim bir pasajı ile de yorumumu bitirmek istiyorum, sanırım kitabı en iyi tanımlayacak cümleler burada saklı;Ve Marco Polo konuştu: ""Senin satranç tahtanda iki ağaç kullanılmış efendimiz: abanoz ve akağaç. Aydın bakışının ısrarla üzerinde durduğu bu parça bir ağaç gövdesinin kurak bir yılda büyüyen halkasından kesilmiş: lifler nasıl dağılıyor görüyor musun? İşte şurada belli belirsiz bir düğüm fark ediliyor: erken bir ilkbahar günü bir tomurcuk fışkırmaya çalışmış besbelli, ama gecenin çiyi geri çekilmeye zorlamış onu.""Yüce Han o ana dek yabancının Tatar dilinde kendisini bu kadar akıcı, bu kadar rahat ifade edebildiğini fark etmemişti, ama onu asıl şaşırtan bu değildi.""İşte daha iri bir delik: belki de bir kurtçuğun yuvasıydı bu; tahtakurdunun olamaz, çünkü doğduğu andan başlayarak durmadan oyardı ağacı o, yapraklarını kemirerek ağacın kesime ayrılmasına neden olan bir tırtılın yuvası olmalı... Daha çıkıntılı komşu kareye tam bitişsin diye bu kenarı hafifçe yontmuş marangoz keskisiyle...""Boş ve düzgün bir tahta parçasında okunabilecek şeylerin kalabalığında boğuluyordu Kubilay; Polo konuşmayı, abanoz ormanlarına, nehirleri bir uçtan bir uca geçen kütük yüklü sallara, rıhtımlara, penceredeki kadınlara vardırmıştı bile...",2017-11-06 17:03:01,4
Andrés Cabrera,"¡Tremendo viaje el que propone Calvino! Y es que, lejos de ser un mero recuento de ciudades, aquí el personaje de Marco Polo propone un periplo por cómo el ser humano concreto habita cada espacio, a la manera de una continuidad que no se disuelve, que permanece a pesar de los cambios. En cierto modo, cada ciudad constituye la metáfora de la identidad de ese ser humano que vislumbra dichos lugares: presente pero, asimismo, en constante flujo, dispuesta al cambio, sabiéndose modificada por cada suceso y experiencia que repercute directo en el alma humana. Por eso, cada ciudad es narrada desde la interioridad de cada persona, pues sólo así puede conocerse algo. De esta forma, Calvino deja claro que todo conocimiento, tal vez de forma bastante heideggeriana, siempre es primero vivido antes que ser resultado de teorizaciones posteriores. Por ello, cada ciudad sólo puede comprenderse como una pequeña arista en la vida de Marco Polo, un sólo instante, parpadeo inextinguible, llamado de medianoche: cada ciudad es un espacio en el que lo onírico y la realidad (siempre vivida, nunca como ""hecho objetivo"") se confunde: en las ciudades, Polo siente sus temores transitar; sea como rezagos identitarios, rastros de los miedos e inseguridades propias del ser humano; cuando no como afectos que perfilan un sueño, un espacio que como realidad tangible es inhóspito, inexistente, pero que ya ha sido vivido desde aquel que cree experimentarlo. De allí que existan ciudades verdaderamente fascinantes: Cloe, Zaira, Fillide, Eusapia, Cecilia y Pentesilea, además de Teodora, resultan ser viajes fascinantes. Creo que me fue imposible no leerlas con algo de tristeza o alegría en el rostro. No queda otra forma de habitar un libro que a partir de los afectos. Tal vez Calvino haya tenido eso en cuenta al momento de crear algo tan extraño y a la vez ya conocido: tal como el Decamerón o Las mil y una noches, aquí está la vida relatada, en su singularidad, en la simpleza del gesto, en el afán porque los sueños no se olviden. En el temor a saber que, después de todo, algo puede hacerse realidad.",2019-01-04 13:23:28,4
Bob Newman,"Polo Ties Khan in Filosofical FinalBack in the days of my wasted youth I was really into ZAP COMIX. For those readers unfamiliar with that august publication, the content was ""highly varied"" but almost always politically incorrect. One kind of page aimed at readers who did not flinch from inhaling certain controlled substances. There would be, for example, a house and garden in a cartoon box. In each successive box, a little bit more would disappear. In the next to last box, there would be a tiny circle, made into a `yang and yin' design and in the last box it would go ""plink"" or ""poing !"" and there would be nothing at all left. INVISIBLE CITIES brought these stoner cartoons to mind, because what you get out of the book (or the cartoons) is mainly what is already inside you. Marco Polo regales Kublai Khan with endless tales of the different cities he has visited while travelling round the great Mongol Empire. Each city bears a woman's name and some possess modern features never seen in the Venetian's lifetime. The description of each city gives some kind of philosophical essence, so that what we are really reading is a kind of compound of Calvino's imagination and deep thoughts melded together into a kind of literary pill. It's up to you if you want to swallow it. ""Futures not achieved are only branches of the past: dead branches."" he intones. ""The unhappy city contains a happy city unaware of its own existence."" There's hundreds of mantras like this, kind of literary Chinese fortune cookies written by Khalil Gibran. In the end, Marco admits that he's made up these descriptions, but says that if the two of them did not ""think the cities and their inhabitants"", they would not exist. The Khan agrees. If such sentiments and literary directions are your bag, then this could be a very interesting book. I note that the majority of reviewers were people who liked the book. This is not always the best guide for surfers with questions. For my part, I grew tired of the repetitive format, the somewhat shopworn philosophy. To each his own.",2017-12-29 11:07:07,3
Priscila Jordão,"Calvino devia ser, como Borges, um fanático leitor de enciclopédias. Afinal, com o vocabulário e o conhecimento de uma pessoa medianamente culta se entende somente o básico de Cidades Invisíveis. Neste livro, o autor usa a arquitetura como símbolo para descrever as mais diferentes cidades: uma que se assemelha a uma teia de aranha, uma que copia o reino dos mortos, uma cidade eternamente em construção, outra que se expande a partir do centro. Embora cada uma seja descrita em não mais que uma página e meia, Calvino confere a todas uma imensa quantidade de detalhes. Para expressá-los, ele muitas vezes lança mão de um vocabulário rebuscado. Você sabe o que é ""tríglifo"", ""incunábulo"" e ""métope""? Nem eu sabia. Mas ler Calvino e descobrir esse vocabulário junto com as cidades invisíveis é uma viagem pelo conhecimento. Como um joalheiro, Calvino esculpe seu texto segundo uma forma perfeita, se desfazendo de tudo que não é essencial ao seu propósito e obtendo narrativas curtas. Mas, em determinado momento, engasta-as com joias cheias de brilho, que são o surgir de um significado a partir de uma descrição arquitetônica.Por trás de toda essa cultura e imaginação, construindo cidades que nunca existiram, Calvino fala dos principais paradigmas do homem. Existe uma cidade feita no cume das montanhas, mas também uma soterrada; uma injusta com uma semente de justiça, que, por sua vez, tem uma semente injusta; uma cidade arquitetada conforme a imutável e perfeita órbita dos planetas onde só vivem aleijados e criaturas monstruosas.Tudo é narrado pelo viajante Marco Polo ao imperador Kublai Khan, que tenta descobrir o que todas as cidades têm em comum para, enfim, entender como comandar o seu império.Recomendável para quem gosta de narrativas universais, atemporais e labirínticas como as borgianas.",2011-02-07 08:36:12,5
Tim Pendry,"I am really struggling with Calvino. For some absurd existentialist reason, I am working through his texts in the perhaps vain hope of finding something that is truly interesting in his work. This is supposed to be one of his greatest texts and one suspects that it might have been revelatory in some way at the time of writing but, increasingly, one's impression is that Calvino represents a moment in history when all the talk was of semiotics and not of substance.Calvino seems to represent an experimentation that is heading nowhere. He is clever but he is dull. He expects us to engage intellectually with his thought processes but it all seems scarcely worth the effort since much of what substance there is represents a philosophical platitude.The contrast with the subtleties of Di Lampedusa are striking and the revolt against the bourgeois novel only appears to have led to an incomprehensible bourgeois experimentation.It is fair to say that Calvino, when he chooses to be lucid, can write brilliantly on occasions and those moments keep this book in the library - whereas his 'Castle of Crossed Destinies' is now on the pile for the second hand bookshop.Perhaps he is best seen as a prose poet and coherence not expected of him - in which case, I am, sadly, the wrong reader for him since I like discipline and clarity rather than the second-guessing of another mind or the performance art of reading a book as if I were writing it.There is one other thing to say in his favour. He does have a fertile imagination for the unusual concept or image - it is understandable why he is respected as creative in fantasy circles but what the reader begs for is that these remarkable short prose poems to be turned into narrative.I shall persist with perhaps two more texts ... I like to give a man the benefit of the doubt but this is becoming tiring.",2012-08-19 18:52:03,3
Burak,"Calvino'nun Görünmez kentler'i temelde yazarın Kozmokomik Öyküleri isimli eserine benziyor denebilir. Kozmokomik Öyküler nasıl evrenin ortaya çıkışına dair yazarın düşsel teorilerini sıraladığı bir kitapsa Görünmez Kentler de yazarın kent imgesine dair düşlerini sıraladığı bir kitap. Şu aciz dünyamızın gördüğü en büyük edebiyat insanlarından biri, bir edebiyat büyücüsü olan Calvino'nun en sevdiği kitabıymış Görünmez Kentler. Bunu kitabın Türkçe çevirmeninin yazdığı önsözden öğreniyoruz (Işıl Saatçioğlu'nun yazdığı, tebrik edilesi, okuma tarihimin şu gününe dek rastladığım üzerine en uğraşılmış, en fazla beceri akıtılmış hemen her açıdan belki de en iyi en söz). Hikayesini, gezgin Marco Polo'nun Asya'nın hakimi Kubilay Han'ı tanıştırdığı kent-kent imgeleri üzerine kuran romanda sözü geçen düşsel (denebilirse tabii) kentlerde yolculuk yaparken ince kurgusal oyunlardan nitelikli felsefi açılımlara iyi bir edebiyat okurunun ilgisini çekebilecek pek çok unsurla karşılıyorsunuz. Siz de Calvino'ya birlikte o kentleri düşlemekle kalmıyor, yazının kendi serüveni içinde kurduğu o kuyumsu edebi-düşünsel ağın bir yerlerinde hazla kayboluyorsunuz. Calvino edebiyatının en önemli imzalarından biri -Borges edebiyatına benzer biçimde- zannımca, aksi somut gerçekliklerin yeni bir somutluk yaratan soyutluk düzleminde birbirine girmesi-kaynaşması-tekleşmesi türü bir düşünce biçimi. Bu düşünme biçimim getirilerinden Kozmokomik'te olduğu gibi Kentler'de de bolca yararlanmış ve okuyucu keyiflendirmiş Calvino. Ben de Görünmez Kentler'e dair bir soru sorayım: Kitapta Kubilay Han'ın ara ara vurguladığı, Marco Polo'nun da ara ara desteklediği biçimde (yoksa tersi mi, ne fark eder?) bütün kentler eninde sonunda birbirinin benzeri, sıkıcı bir ""aynı""sı mıdır acaba? Öyleyse, onları farklı gösteren neydi ve aynı kılan nedir?",2015-08-15 18:25:17,4
Hestia Istiviani,"I read in English but this review is in Bahasa Indonesia.
  Memory is redundant: it repeats signs so that the city can begin to exist.
Pertama kali membaca Italo Calvino ialah dari cerita pendeknya yang diterbitkan oleh Penguin Modern Classic berjudul Distance of the Moon. Rupanya aku cukup menikmati tulisan-tulisannya itu. Hingga Nada, seorang bookdragon yang aku kenal lewat Twitter dan Instagram merekomendasikan aku judul ini.Invisible Cities tersedia di Scribd. Bisa diakses apabila pengguna sudah berlangganan. Dari keterangannya, buku ini hanya 144 halaman. Tentu saja aku semakin tergoda.Invisible Cities punya dua tokoh utama yakni Kublai Khan dan Marco Polo. Khan meminta Polo untuk menceritakan kisah perjalanannya, bagaimana perjalanan tersebut dan seperti apa kota-kota yang ia datangi. Itulah yang menjadi titik tumpu dari Invisible Cities.Namun, buku ini tidak disampaikan dengan narasi yang membosankan. Calvino merangkai kata-katanya dengan mengalir, membuat pembaca ikut berimajinasi seperti Polo mendeskripsikan setiap kota yang ia datangi. 
  ...on your return from Euphemia, the city where memory is traded at every solstice and at every equinox.
Buku ini terbagi menjadi 9 bab yang masing-masing dibuka/ditutup dengan percakapan antara Khan dan Polo. Khan yang mendengar bagaimana keadaan kota-kota yang dikunjungi oleh Polo juga merasa curiga. Jangan-jangan itu hanya karangan Polo semata. Tetapi diujung, Khan dan Polo setuju akan satu hal (maaf, nggak mau spoiler). Inivisible Cities adalah bacaan ringan yang indah dan membawa kita ""pergi"" dari tempat kita sekarang. Ia mengajak kita untuk berkenalan dengan kota-kota yang tidak lazim, yang ternyata selama ini belum diketahui akan keunikannya.",2020-07-17 12:41:16,4
Ella,"My memory of this book a month later is almost like the memory of a particularly good guided meditation (OK, I don't have a ton of experience with good guided meditation, but I know bad ones!) This is a nifty book. It seems so simple: Marco Polo telling tales to Kublai Khan about his travels through the Mongol Empire, with some notable additions. So there's a realm where it's a bit like a travelogue to all the cities I've visited, lived in, loved or have wished to see - a wonderful imaginative experience. And there's another realm where it's philosophy about cities, humankind, differences and similarities, the changes that happen over time both physically and mentally - and this is the part where the meditation comes in. It's a wonderful book that I wasn't sure I wanted to read before I started. It starts slowly, but once you start to see what's happening between the two main characters and the world in which we all live, it starts to seem almost too short.It also made me very curious about a lot of things and one of the best things I found along the way was a course curriculum for school students based on this book: http://teachers.yale.edu/curriculum/v...and the Yale National Initiative seminar ""Invisible Cities: The Arts and Renewable Community"": http://teachers.yale.edu/curriculum/v...Those are just two things I thought were kind of awesome, but there are other nonfiction books and all sorts of memory/artistic and other creative projects that tie into this book. You could spend a lifetime doing nothing but reading related texts. Italo Calvino's Invisible Cities is an incredibly imaginative springboard to seeing our world through using a full imagination of our own.",2018-05-26 09:43:22,5
